id,hospcode,areacode,date_com,b_year,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7,r2_1,r2_2,r3,r4,r5,r6
"297c1cb035778f7b49357693e6867e6c","06644","57010201","202511180600","2568",0,1,0,0,2,0,0,0,22,32,72,0,0
"297c1cb035778f7b49357693e6867e6c","00939","11011201","202511171855","2568",0,2,1,0,255,0,0,0,23,112,4,0,1
"297c1cb035778f7b49357693e6867e6c","02211","24021401","202511180446","2568",0,0,0,0,0,0,0,0,0,44,79,0,0
"297c1cb035778f7b49357693e6867e6c","99779","90040103","202511170445","2568",1,0,0,0,0,0,7,0,1,1,10,0,0
"297c1cb035778f7b49357693e6867e6c","10113","96040103","202511170426","2568",0,0,1,0,85,0,0,0,0,12,97,0,0
"297c1cb035778f7b49357693e6867e6c","13970","47040505","202511161930","2568",0,0,0,0,0,0,0,0,0,353,53,0,0
"297c1cb035778f7b49357693e6867e6c","28010","62110103","202511162211","2568",710,5,345,559,51,0,467,0,547,363,683,0,9
"297c1cb035778f7b49357693e6867e6c","06646","57010205","202511180600","2568",0,0,0,0,6,0,1,0,0,38,74,0,0
"297c1cb035778f7b49357693e6867e6c","02386","26010407","202511180230","2568",0,0,0,0,1,0,0,0,22,47,112,0,0
"297c1cb035778f7b49357693e6867e6c","02877","31010401","202511171004","2568",0,0,6,1,246,0,47,0,363,159,291,0,2
"297c1cb035778f7b49357693e6867e6c","00695","65080112","202511170854","2568",205,15,148,121,143,5,153,7,377,230,245,0,13
"297c1cb035778f7b49357693e6867e6c","05079","45010214","202511170342","2568",0,0,0,0,99,1,3,0,1,29,22,0,0
"297c1cb035778f7b49357693e6867e6c","10501","58030607","202511180352","2568",0,0,0,0,21,0,4,0,0,29,5,0,0
"297c1cb035778f7b49357693e6867e6c","02385","26010301","202511180230","2568",0,0,0,0,0,0,0,0,0,14,7,0,0
"297c1cb035778f7b49357693e6867e6c","07610","66010304","202511180526","2568",0,0,0,0,0,0,0,0,0,11,5,0,0
"297c1cb035778f7b49357693e6867e6c","14864","39021004","202511180302","2568",0,0,0,0,80,0,1,0,0,107,206,0,0
"297c1cb035778f7b49357693e6867e6c","05292","46010312","202511170452","2568",0,0,0,0,118,0,0,0,3,164,270,0,0
"297c1cb035778f7b49357693e6867e6c","03091","32010412","202511170802","2568",1,0,0,0,1,0,0,0,69,6,152,0,0
"297c1cb035778f7b49357693e6867e6c","00940","11011305","202511171855","2568",0,0,0,0,2,0,0,0,3,48,47,0,0
"297c1cb035778f7b49357693e6867e6c","05842","50040210","202511152317","2568",3,0,4,0,6,0,7,0,44,10,26,0,0
"297c1cb035778f7b49357693e6867e6c","01055","12060203","202511170715","2568",0,0,0,0,64,0,1,0,0,128,655,0,0
"297c1cb035778f7b49357693e6867e6c","00937","11011004","202511171855","2568",0,2,0,0,77,0,0,0,13,86,342,0,0
"297c1cb035778f7b49357693e6867e6c","08734","77060807","202511180351","2568",0,0,0,0,423,0,0,0,0,22,59,0,0
"297c1cb035778f7b49357693e6867e6c","09437","90010303","202511170445","2568",0,0,0,0,24,0,151,0,25,42,122,0,0
"297c1cb035778f7b49357693e6867e6c","00019","31010100","202511171004","2568",0,0,0,0,0,0,0,0,77,0,0,0,0
"297c1cb035778f7b49357693e6867e6c","01677","19010506","202511180225","2568",0,0,0,0,6,0,0,0,25,48,68,0,0
"297c1cb035778f7b49357693e6867e6c","08715","77040407","202511180351","2568",0,0,0,0,63,0,0,0,0,24,13,0,0
"297c1cb035778f7b49357693e6867e6c","05443","47010100","202511161930","2568",0,0,0,0,27,0,0,0,0,45,71,0,0
"297c1cb035778f7b49357693e6867e6c","11114","49030107","202511142052","2568",578,1,503,336,265,2,233,10,121,303,455,0,15
"297c1cb035778f7b49357693e6867e6c","04094","37010201","202511170732","2568",1,0,0,0,100,0,1,0,2,62,15,0,0
"297c1cb035778f7b49357693e6867e6c","01559","17010205","202511180428","2568",0,0,0,0,13,0,0,0,8,21,47,0,0
"297c1cb035778f7b49357693e6867e6c","08154","72010501","202511171636","2568",0,0,0,0,23,0,0,0,0,8,26,0,0
"297c1cb035778f7b49357693e6867e6c","00936","11010804","202511171855","2568",3,1,0,1,222,1,21,0,18,97,116,0,0
"297c1cb035778f7b49357693e6867e6c","00938","11011101","202511171855","2568",1,0,0,2,22,0,1,0,9,55,16,0,0
"297c1cb035778f7b49357693e6867e6c","11314","76080305","202511171249","2568",756,0,462,471,251,1,304,0,137,339,649,0,21
"297c1cb035778f7b49357693e6867e6c","11312","76061608","202511171249","2568",1000,29,214,844,368,11,650,12,1165,693,1397,0,16
"297c1cb035778f7b49357693e6867e6c","09862","93070302","202511180359","2568",0,0,0,0,2,0,0,0,0,6,132,0,0
"297c1cb035778f7b49357693e6867e6c","02116","23010204","202511172305","2568",0,0,0,0,9,0,0,0,31,3,9,0,7
"297c1cb035778f7b49357693e6867e6c","08326","73010403","202511171620","2568",0,0,0,0,101,0,0,0,0,25,419,0,0
"297c1cb035778f7b49357693e6867e6c","09035","81060110","202511162309","2568",1,0,0,0,2,0,0,0,0,35,55,0,0
"297c1cb035778f7b49357693e6867e6c","11146","52020411","202511170704","2568",2103,6,482,504,206,1,703,2,1234,682,972,0,91
"297c1cb035778f7b49357693e6867e6c","10816","19120301","202511180225","2568",649,4,125,305,596,1,684,13,181,497,670,0,8
"297c1cb035778f7b49357693e6867e6c","09606","91010403","202511172339","2568",0,0,0,0,1,0,354,0,0,0,274,0,0
"297c1cb035778f7b49357693e6867e6c","02014","22010402","202511180401","2568",0,0,0,0,6,0,0,0,4,16,36,0,1
"297c1cb035778f7b49357693e6867e6c","02154","23030805","202511172305","2568",0,0,0,0,22,0,0,0,0,8,8,0,0
"297c1cb035778f7b49357693e6867e6c","03823","35010203","202511170806","2568",0,0,0,0,26,0,2,0,0,174,44,0,0
